"Date","Price","Open","High","Low","Change %"
"May 27, 2015","7.7698","7.7572","7.8258","7.7102","0.19%"
"May 26, 2015","7.7550","7.6410","7.7661","7.6340","1.46%"
"May 25, 2015","7.6436","7.6419","7.6775","7.6270","-0.02%"
"May 22, 2015","7.6450","7.5584","7.6515","7.4990","1.16%"
"May 21, 2015","7.5575","7.5671","7.5908","7.5170","-0.21%"
"May 20, 2015","7.5732","7.5327","7.6060","7.5121","0.50%"
"May 19, 2015","7.5357","7.4091","7.5542","7.3960","1.75%"
"May 18, 2015","7.4061","7.3239","7.4302","7.3050","1.32%"
"May 15, 2015","7.3096","7.3702","7.3997","7.2842","-0.82%"
"May 14, 2015","7.3704","7.3924","7.4082","7.3459","-0.22%"
"May 13, 2015","7.3864","7.4860","7.4921","7.3475","-1.30%"
"May 12, 2015","7.4840","7.5675","7.5824","7.4530","-1.11%"
"May 11, 2015","7.5680","7.4747","7.5806","7.4651","1.23%"
"May 08, 2015","7.4762","7.4400","7.5127","7.4186","0.36%"
"May 07, 2015","7.4491","7.4383","7.5007","7.3142","0.19%"
"May 06, 2015","7.4350","7.5818","7.5976","7.3750","-1.82%"
"May 05, 2015","7.5727","7.5962","7.6722","7.5418","-0.29%"
"May 04, 2015","7.5950","7.6109","7.6287","7.5635","-0.11%"
"May 01, 2015","7.6037","7.5394","7.6397","7.5004","0.94%"
"Apr 30, 2015","7.5327","7.5194","7.5735","7.4409","0.14%"
"Apr 29, 2015","7.5225","7.6348","7.6652","7.4575","-1.54%"
"Apr 28, 2015","7.6400","7.7253","7.7568","7.6295","-1.12%"
"Apr 27, 2015","7.7265","7.7707","7.8099","7.6790","-0.48%"
"Apr 24, 2015","7.7635","7.8385","7.8608","7.7536","-0.94%"
"Apr 23, 2015","7.8375","7.9033","7.9595","7.8028","-0.90%"
"Apr 22, 2015","7.9085","7.8831","7.9382","7.8100","0.41%"
"Apr 21, 2015","7.8760","7.8800","7.9250","7.8197","-0.06%"
"Apr 20, 2015","7.8805","7.8223","7.8970","7.7810","0.66%"
"Apr 17, 2015","7.8289","7.7473","7.8580","7.7211","1.11%"
"Apr 16, 2015","7.7429","7.8240","7.8805","7.7100","-0.96%"
"Apr 15, 2015","7.8182","7.9465","7.9823","7.8131","-1.62%"
"Apr 14, 2015","7.9469","8.0971","8.1290","7.9132","-1.92%"
"Apr 13, 2015","8.1021","8.1109","8.1506","8.0766","0.02%"
"Apr 10, 2015","8.1001","8.1094","8.1644","8.0783","-0.12%"
"Apr 09, 2015","8.1095","8.0575","8.1309","8.0273","0.65%"
"Apr 08, 2015","8.0572","8.0860","8.0932","7.9730","-0.34%"
"Apr 07, 2015","8.0850","7.9638","8.0954","7.9234","1.57%"
"Apr 06, 2015","7.9599","7.9101","7.9873","7.8888","0.18%"
"Apr 03, 2015","7.9457","7.9833","8.0148","7.8958","-0.56%"
"Apr 02, 2015","7.9904","8.0399","8.0475","7.9413","-0.54%"
"Apr 01, 2015","8.0334","8.0543","8.1140","7.9837","-0.33%"
"Mar 31, 2015","8.0602","8.0145","8.1448","7.9945","0.54%"
"Mar 30, 2015","8.0170","7.9740","8.0447","7.9475","0.52%"
"Mar 27, 2015","7.9754","7.9205","8.0372","7.8991","0.79%"
"Mar 26, 2015","7.9131","7.8410","7.9274","7.7305","0.93%"
"Mar 25, 2015","7.8400","7.8575","7.8752","7.7979","-0.23%"
"Mar 24, 2015","7.8580","7.8885","7.9168","7.7938","-0.39%"
"Mar 23, 2015","7.8890","8.0284","8.0742","7.8618","-1.78%"
"Mar 20, 2015","8.0318","8.0886","8.1238","7.9825","-0.70%"
"Mar 19, 2015","8.0884","8.1639","8.3874","8.0308","-0.95%"
"Mar 18, 2015","8.1661","8.3119","8.4201","8.0976","-1.76%"
"Mar 17, 2015","8.3125","8.2676","8.3279","8.2490","0.53%"
"Mar 16, 2015","8.2687","8.2187","8.2793","8.1775","0.69%"
"Mar 13, 2015","8.2120","8.1024","8.2364","8.0970","1.35%"
"Mar 12, 2015","8.1025","8.2101","8.2418","8.0477","-1.28%"
"Mar 11, 2015","8.2075","8.0873","8.2358","8.0836","1.50%"
"Mar 10, 2015","8.0865","7.9308","8.1090","7.9217","1.97%"
"Mar 09, 2015","7.9300","7.8990","7.9490","7.8627","0.28%"
"Mar 06, 2015","7.9075","7.7256","7.9124","7.7170","2.38%"
"Mar 05, 2015","7.7239","7.7775","7.8203","7.7034","-0.68%"
"Mar 04, 2015","7.7770","7.7139","7.8250","7.6965","0.82%"
"Mar 03, 2015","7.7135","7.6985","7.7218","7.6732","0.20%"
"Mar 02, 2015","7.6982","7.6653","7.7079","7.6509","0.43%"
"Feb 27, 2015","7.6653","7.6597","7.6813","7.6159","0.09%"
"Feb 26, 2015","7.6587","7.5454","7.6679","7.5219","1.52%"
"Feb 25, 2015","7.5443","7.5871","7.6129","7.5396","-0.57%"
"Feb 24, 2015","7.5877","7.6165","7.6461","7.5755","-0.39%"
"Feb 23, 2015","7.6175","7.5257","7.6536","7.5245","1.18%"
"Feb 20, 2015","7.5287","7.5895","7.6247","7.4973","-0.79%"
"Feb 19, 2015","7.5885","7.5250","7.6059","7.5060","0.81%"
"Feb 18, 2015","7.5273","7.5212","7.5622","7.4958","0.11%"
"Feb 17, 2015","7.5189","7.5692","7.5917","7.4949","-0.67%"
